ts,tx,bm_rmb,bm_wmb,bm_evict,blob_io_mb,logio_mb,db_size,alloc_size,mem_mb
0,62175,0.0000,0.0000,0,713.00,29.7148,0.9769,0.9769,33192.5859
1,62717,0.0000,0.0000,0,0.00,34.6953,0.9769,0.9769,33205.5859
2,62842,0.0000,0.0000,0,0.00,33.8789,0.9769,0.9769,33217.8359
3,63099,0.0000,0.0000,0,0.00,33.5117,0.9769,0.9769,33231.0820
4,62965,0.0000,0.0000,0,0.00,34.2031,0.9769,0.9769,33245.3320
5,63003,0.0000,0.0000,0,0.00,33.3359,0.9769,0.9769,33257.5820
6,63109,0.0000,0.0000,0,0.00,34.0117,0.9769,0.9769,33271.5820
7,63070,0.0000,0.0000,0,0.00,34.5977,0.9769,0.9769,33284.4258
8,62869,0.0000,0.0000,0,0.00,34.2500,0.9769,0.9769,33297.5625
9,62974,0.0000,0.0000,0,0.00,33.0859,0.9769,0.9769,33310.4219
10,63037,0.0000,0.0000,0,0.00,33.2031,0.9769,0.9769,33323.6719
11,63023,0.0000,0.0000,0,0.00,33.9570,0.9769,0.9769,33336.9219
