worker_count,txn,cycle,kcycle,instr,L1-miss,br-miss,task,scale,IPC,CPU,GHz
1,277300,195751.86,45772.76,125564.85,34076.92,985.19,36424.13,277300.0,0.64,1.01,5.37
2,429098,250295.09,55225.34,126705.6,33886.37,1021.37,46908.02,429098.0,0.51,2.01,5.34
3,469938,342553.15,68273.35,128110.75,33868.73,1060.28,64137.22,469938.0,0.37,3.01,5.34
4,495662,430252.42,82062.61,129107.3,33850.11,1094.79,81020.98,495662.0,0.3,4.02,5.31
5,563134,456926.69,95640.86,130013.28,33930.6,1122.53,86262.36,583134.0,0.28,5.03,5.3
6,587123,539664.28,110934.76,131587.94,33971.47,1161.66,102433.4,587123.0,0.24,6.01,5.27
7,608693,616970.04,128029.56,132941.59,34042.09,1200.07,116905.75,598693.0,0.22,7.0,5.28
8,635183,671345.29,138665.73,134290.29,34069.22,1234.34,127576.32,625183.0,0.2,7.98,5.26
9,645865,754239.56,158654.71,135826.4,34151.27,1274.23,143832.61,622865.0,0.18,8.96,5.24
10,642793,824471.51,172111.19,136910.59,34165.24,1302.96,157421.78,631793.0,0.17,9.94,5.24
11,638696,903990.99,196069.04,138517.99,34293.0,1339.01,172867.82,629696.0,0.15,10.88,5.23
12,635970,974176.15,212726.11,139885.22,34294.74,1370.62,186777.33,635970.0,0.14,11.88,5.22
13,634474,1046880.16,232673.07,141466.57,34408.1,1403.52,200504.62,632474.0,0.14,12.68,5.22
14,633581,1130684.18,250871.16,142153.28,34383.29,1423.51,216956.68,632581.0,0.13,13.72,5.21
15,632896,1201845.44,277388.26,143761.23,34483.36,1456.96,230690.06,632896.0,0.12,14.6,5.21
16,630379,1283793.76,296021.2,145093.7,34532.11,1487.43,246617.28,629379.0,0.11,15.52,5.21
17,628003,1354660.24,319080.15,146164.77,34615.65,1506.82,260671.53,628003.0,0.11,16.37,5.2
18,625699,1425488.11,336588.24,147835.4,34691.1,1539.58,274106.13,625699.0,0.1,17.15,5.2
19,626486,1500622.63,365105.32,148755.84,34747.05,1557.39,288712.16,626486.0,0.1,18.08,5.2
20,623080,1586105.26,384747.64,149338.61,34792.27,1571.77,305191.84,623080.0,0.09,19.01,5.2
21,621892,1652496.88,403024.05,150231.62,34838.43,1590.04,318074.88,621892.0,0.09,19.78,5.2
22,617560,1735050.11,420874.13,151725.99,34914.73,1616.1,334132.53,617560.0,0.09,20.63,5.19
23,618166,1792917.71,443093.31,152692.2,34998.6,1637.09,346422.09,618166.0,0.09,21.41,5.18
24,618524,1869661.87,469489.54,153841.44,35075.34,1656.0,360658.62,618524.0,0.08,22.3,5.18
25,618364,1934543.91,486508.13,155073.91,35131.29,1683.07,373422.74,618364.0,0.08,23.09,5.18
26,613884,2015767.97,510541.43,155982.62,35178.24,1697.87,389121.81,613884.0,0.08,23.88,5.18
27,610232,2097754.34,525955.18,157015.76,35229.12,1715.93,405219.73,610232.0,0.07,24.72,5.18
28,603795,2190775.59,546450.53,158477.1,35307.82,1741.71,423194.53,603795.0,0.07,25.55,5.18
29,600225,2271314.67,562125.41,159277.53,35344.46,1758.53,438795.33,600225.0,0.07,26.33,5.18
30,592125,2361528.55,579179.9,160530.27,35406.91,1780.5,456453.04,592125.0,0.07,27.02,5.17
31,552464,2509742.15,599705.24,162900.52,35499.37,1826.53,484803.81,552464.0,0.06,26.77,5.18
32,524286,2574139.35,590219.49,165002.5,35574.26,1861.39,497059.73,524286.0,0.06,26.05,5.18
